X,Y,Z,x_park
-5.538989558306756100e-04,-1.116809282957162974e+00,-1.254849091374535264e-03,-5.683346356076564429e-04
-1.382952732316006239e-04,-1.116729950264424343e+00,-1.460033543081537544e-03,-1.419096074283013559e-04
-5.257725437757265752e-05,-1.116752891131626235e+00,-1.416053751884124856e-03,-5.395024800772704981e-05
1.151470716233282676e-04,-1.116735596364019756e+00,-1.456250308033424368e-03,1.181558325069448877e-04
1.603991842646923516e-04,-1.116832412881122449e+00,-1.199018474731569639e-03,1.645761015981312119e-04
2.884427743009287948e-05,-1.116853055306490816e+00,-1.152473999796593818e-03,2.959485765166858850e-05
-2.650983792252536997e-04,-1.116980136594030615e+00,-8.590151361021619580e-04,-2.719657673858496779e-04
-4.337227492645645555e-05,-1.116874640198564306e+00,-1.144849864539707052e-03,-4.450003985185016340e-05
1.270156329348792745e-04,-1.116832643936556346e+00,-1.254635118196248400e-03,1.303231904526765030e-04
3.294361044745286460e-04,-1.116743895730714753e+00,-1.477763503460377548e-03,3.380416571830186412e-04
3.128180164346933134e-04,-1.116784370180806896e+00,-1.376472713900372957e-03,3.209778379279030753e-04
2.984839185629639680e-04,-1.116876188053886443e+00,-1.135471033568383192e-03,3.062446592013758897e-04
1.787865153592971268e-04,-1.116896410179983867e+00,-1.090428527242129353e-03,1.834317414413309246e-04
-7.405167315961969088e-04,-1.116758401956133628e+00,-1.696465313894196525e-03,-7.598506012838570798e-04
-3.994984592190720107e-03,-1.116242990411455915e+00,-4.111622336446726922e-03,-4.101164012192339177e-03
-6.956332164677447860e-03,-1.115831826363194779e+00,-6.307198858127222030e-03,-7.143788178885839175e-03
-8.681219415342000811e-03,-1.116271723485060097e+00,-6.372719824647737896e-03,-8.911579424081331885e-03
-6.305922955220921722e-03,-1.117071408081908634e+00,-5.093359111052506161e-03,-6.468681069095783345e-03
-4.046848439010930498e-03,-1.118089641490488395e+00,-3.522384414963802834e-03,-4.147544432558467747e-03
-4.208755021655602446e-03,-1.118081192373358235e+00,-4.818187612305180334e-03,-4.313510725717099696e-03
-4.828551403560310540e-03,-1.119713996099917841e+00,-2.845179732151092988e-03,-4.941510111919743958e-03
-5.169121843830587482e-03,-1.120638601475787866e+00,-2.835674380431765784e-03,-5.285678444194101024e-03
-4.473854588005268806e-03,-1.121729040069961769e+00,-2.627463081993491878e-03,-4.570294924048494759e-03
-3.306086029083263322e-03,-1.123179875994483989e+00,-1.973951965269393760e-03,-3.372998985329243860e-03
-3.294612118623342634e-03,-1.124151097115128506e+00,-2.791854077607791584e-03,-3.358388913293648952e-03
-3.205292202866055762e-03,-1.125885451743717791e+00,-1.924094992915473257e-03,-3.262307349209403896e-03
-2.290833617891299689e-03,-1.128106919887222892e+00,8.377741800225102509e-05,-2.326994279349820817e-03
