X,Y,Z,x_park
6.069130995774361936e-02,-1.110120441483774645e+00,-1.164397938344782779e-02,7.262585958829851585e+00
6.068185609077295095e-02,-1.110002634313413727e+00,-1.193620006820390878e-02,7.262582857369046074e+00
6.063807779770036266e-02,-1.110156856218870169e+00,-1.156497987185622911e-02,7.262529126792578893e+00
6.057753330986383189e-02,-1.110156753690614728e+00,-1.157258628925121602e-02,7.262466823604280641e+00
6.055414575411600941e-02,-1.110159637785184561e+00,-1.156051078594862169e-02,7.262442592460138790e+00
6.056796009970528971e-02,-1.110059237100660567e+00,-1.180337998613636974e-02,7.262462447230481288e+00
6.056313499490115215e-02,-1.110157341974086442e+00,-1.156200038583592160e-02,7.262451972592566918e+00
6.052469921842938694e-02,-1.110092546888934439e+00,-1.172875745915255563e-02,7.262416052200137528e+00
6.051112699274616147e-02,-1.110083829528983212e+00,-1.175117472197584334e-02,7.262402572577503435e+00
6.055712894551736059e-02,-1.110173264131230075e+00,-1.152267783699863213e-02,7.262444897653177911e+00
6.053770145995149288e-02,-1.110079401484171724e+00,-1.176135603533151608e-02,7.262430172057855238e+00
6.053261003453941358e-02,-1.110042979758856019e+00,-1.185162666053916902e-02,7.262426976031720827e+00
6.059737345290135135e-02,-1.110131346692524668e+00,-1.162453135847046903e-02,7.262488669274087094e+00
6.062418708867821360e-02,-1.110171026219262558e+00,-1.152631023324351967e-02,7.262514034952444852e+00
6.065119215251911500e-02,-1.110065710726649613e+00,-1.178333053840659173e-02,7.262547748361156685e+00
6.064728800137454690e-02,-1.110114604972006314e+00,-1.166555499354933467e-02,7.262540980889975017e+00
6.064117779743453951e-02,-1.110016559939610792e+00,-1.190330974337948378e-02,7.262540204974174962e+00
6.066347286755163770e-02,-1.110043389279327997e+00,-1.183293926102563232e-02,7.262561643450448301e+00
6.066618057957397225e-02,-1.109959053384594219e+00,-1.204164744093777495e-02,7.262569174612331757e+00
6.063615507397790427e-02,-1.110083140594014584e+00,-1.173896104566629628e-02,7.262531291949202661e+00
6.063747497826700583e-02,-1.110013055977254304e+00,-1.191397204091744488e-02,7.262536590792153746e+00
6.062269062087652371e-02,-1.110103304786134837e+00,-1.169071453279471595e-02,7.262516300883694598e+00
6.058977082906195910e-02,-1.110168150524655450e+00,-1.153446553346143544e-02,7.262478777659807427e+00
6.055366676394258185e-02,-1.110157590085488089e+00,-1.156761817956207528e-02,7.262442214456683587e+00
6.057401765938472127e-02,-1.110162802906923707e+00,-1.155418767998994678e-02,7.262462865800124234e+00
6.056082128003273390e-02,-1.110092207188283275e+00,-1.172519090973940525e-02,7.262453248424423080e+00
6.055988388861333060e-02,-1.110107113893431974e+00,-1.168560049162041536e-02,7.262451446693918733e+00
6.058251642757878086e-02,-1.110154576200345078e+00,-1.157010313419487568e-02,7.262472074251970611e+00
