X,Y,Z,x_park
-5.964812518621090409e-03,-1.118124124198357938e+00,-2.697718863816325752e-03,-6.113012564033226508e-03
-5.361670059380929665e-03,-1.118973850444196172e+00,-1.479516358103560858e-03,-5.490721957536390078e-03
-6.230149775231508258e-03,-1.118922797691478843e+00,-2.786788696642963914e-03,-6.380379410673664604e-03
-6.222899035407888912e-03,-1.119058378105037832e+00,-3.703743315925114854e-03,-6.372181880172715293e-03
-5.836554934071272460e-03,-1.120325394509662065e+00,-1.962126835358873889e-03,-5.969818070838910258e-03
-6.473796486704319619e-03,-1.121060443593115741e+00,-1.967785887414169599e-03,-6.617254140925983921e-03
-6.267114669888745881e-03,-1.121954369338475033e+00,-1.507678706683279746e-03,-6.400892861736276127e-03
-6.016806591183726516e-03,-1.122798870093855150e+00,-1.094282473613220064e-03,-6.140624704916722125e-03
-4.304231172019931662e-03,-1.123523515718386490e+00,-1.178386473438181037e-03,-4.389993983670179185e-03
-3.452912238117944455e-03,-1.124591705778475559e+00,-6.447063527801333294e-04,-3.518373389707068685e-03
-3.266996976215318094e-03,-1.125767821777375222e+00,-2.662461292993051343e-04,-3.325456800743538822e-03
-3.401311871081148797e-03,-1.126861699820665530e+00,3.002910946478531962e-05,-3.458813503405018443e-03
-3.005687925840432040e-03,-1.128249137540684455e+00,8.967312834660123855e-04,-3.052744638641349036e-03
-3.620318450902701435e-03,-1.129810900195800771e+00,1.729838727175164736e-03,-3.671911073694611536e-03
-4.576766203175340608e-03,-1.131268601530334594e+00,2.380780656384168248e-03,-4.635998139213971629e-03
-1.119280595098325060e-03,-1.132678267350800461e+00,4.150607283143203929e-03,-1.132360974243014828e-03
3.888143311082073450e-03,-1.133958107398250981e+00,6.488011815974359386e-03,3.929128022979609149e-03
8.276702044117692503e-03,-1.135028628523929717e+00,9.089188245467755278e-03,8.355942367277191182e-03
1.513562626698125579e-02,-1.136687636964640147e+00,1.391517914125231514e-02,1.525759988090849562e-02
2.333873742454363465e-02,-1.137696126307314204e+00,1.763799343487965077e-02,2.350405512434551245e-02
3.203991744887123294e-02,-1.138297738556016681e+00,2.071818049526641392e-02,3.224582484187210607e-02
4.239964804971888684e-02,-1.138933916873196228e+00,2.450309023025437627e-02,4.263986748649069292e-02
5.148699433153645921e-02,-1.139540206614590767e+00,2.827812779973792878e-02,5.173985980571471632e-02
6.176084076580141274e-02,-1.139974962160121397e+00,3.231651139442867637e-02,6.202205366449450169e-02
7.170330357241604113e-02,-1.140155687101330972e+00,3.580773735607115094e-02,7.197075603369433583e-02
8.110626905177888146e-02,-1.140266213354326874e+00,3.919439418193612634e-02,8.137106085761473817e-02
9.090204351005289063e-02,-1.140534134790091692e+00,4.349666022913556418e-02,9.113829912723780957e-02
1.005628900131764064e-01,-1.140424369694781337e+00,4.683511878270116280e-02,1.007864164854495037e-01
1.085808841110254275e-01,-1.140299777903653000e+00,4.993695918496120212e-02,1.087876242976611313e-01
